Artikelnummer,Attributname,Attributwert
QSFP-100G-CU2.5M,FAQ,"Welche Datenrate überträgt QSFP-100G-CU2.5M?||QSFP-100G-CU2.5M überträgt 100 Gbit/s gemäß 100GBASE-CR4 (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-100G-CU2.5M?||QSFP-100G-CU2.5M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 2× QSFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-100G-CU2.5M?||QSFP-100G-CU2.5M hat eine Länge von 2,5 m und ist als Twinax-Kupfer, passiv ausgeführt.##Unterstützt QSFP-100G-CU2.5M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-100G-CU2.5M: Nein.##In welchem Temperaturbereich arbeitet QSFP-100G-CU2.5M?||QSFP-100G-CU2.5M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-100G-CU2.5M eingesetzt?||QSFP-100G-CU2.5M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-100G-CU2.5M eine eigene Stromversorgung?||Nein. QSFP-100G-CU2.5M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
Q-4SFP25G-CU1.5M,FAQ,"Welche Datenrate überträgt Q-4SFP25G-CU1.5M?||Q-4SFP25G-CU1.5M überträgt 100 Gbit/s (4× 25 Gbit/s) gemäß 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv).##Welchen Formfaktor und Anschluss hat Q-4SFP25G-CU1.5M?||Q-4SFP25G-CU1.5M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat Q-4SFP25G-CU1.5M?||Q-4SFP25G-CU1.5M hat eine Länge von 1,5 m und ist als Twinax-Kupfer, passiv, Breakout ausgeführt.##Unterstützt Q-4SFP25G-CU1.5M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei Q-4SFP25G-CU1.5M: Nein.##In welchem Temperaturbereich arbeitet Q-4SFP25G-CU1.5M?||Q-4SFP25G-CU1.5M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird Q-4SFP25G-CU1.5M eingesetzt?||Q-4SFP25G-CU1.5M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt Q-4SFP25G-CU1.5M eine eigene Stromversorgung?||Nein. Q-4SFP25G-CU1.5M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
Q-4SFP25G-CU2.5M,FAQ,"Welche Datenrate überträgt Q-4SFP25G-CU2.5M?||Q-4SFP25G-CU2.5M überträgt 100 Gbit/s (4× 25 Gbit/s) gemäß 100GBASE-CR4 zu 4× 25GBASE-CR Breakout (Twinax, passiv).##Welchen Formfaktor und Anschluss hat Q-4SFP25G-CU2.5M?||Q-4SFP25G-CU2.5M ist im Formfaktor QSFP28 ausgeführt mit Anschluss 1× QSFP28 + 4× SFP28 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat Q-4SFP25G-CU2.5M?||Q-4SFP25G-CU2.5M hat eine Länge von 2,5 m und ist als Twinax-Kupfer, passiv, Breakout ausgeführt.##Unterstützt Q-4SFP25G-CU2.5M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei Q-4SFP25G-CU2.5M: Nein.##In welchem Temperaturbereich arbeitet Q-4SFP25G-CU2.5M?||Q-4SFP25G-CU2.5M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird Q-4SFP25G-CU2.5M eingesetzt?||Q-4SFP25G-CU2.5M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt Q-4SFP25G-CU2.5M eine eigene Stromversorgung?||Nein. Q-4SFP25G-CU2.5M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
FET-40G,FAQ,"Welche Datenrate überträgt FET-40G?||FET-40G überträgt 40 Gbit/s gemäß Cisco Fabric Extender Transceiver (40G, 4 Lanes).##Welchen Formfaktor und Anschluss hat FET-40G?||FET-40G ist im Formfaktor QSFP+ ausgeführt mit Anschluss MPO-12 (PC/UPC).##Welche Reichweite erzielt FET-40G?||FET-40G überbrückt 100 m (OM3) / 150 m (OM4/OM5) bei 850 nm.##Unterstützt FET-40G digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei FET-40G: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet FET-40G?||FET-40G arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird FET-40G eingesetzt?||FET-40G ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird FET-40G mit Strom versorgt?||FET-40G bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QSFP-H40G-CU0-5M,FAQ,"Welche Datenrate überträgt QSFP-H40G-CU0-5M?||QSFP-H40G-CU0-5M überträgt 40 Gbit/s gemäß 40GBASE-CR4 (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-H40G-CU0-5M?||QSFP-H40G-CU0-5M ist im Formfaktor QSFP+ ausgeführt mit Anschluss 2× QSFP+ (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-H40G-CU0-5M?||QSFP-H40G-CU0-5M hat eine Länge von 0,5 m und ist als Twinax-Kupfer, passiv ausgeführt.##Unterstützt QSFP-H40G-CU0-5M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-H40G-CU0-5M: Nein.##In welchem Temperaturbereich arbeitet QSFP-H40G-CU0-5M?||QSFP-H40G-CU0-5M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-H40G-CU0-5M eingesetzt?||QSFP-H40G-CU0-5M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-H40G-CU0-5M eine eigene Stromversorgung?||Nein. QSFP-H40G-CU0-5M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QSFP-4SFP10-CU0-5,FAQ,"Welche Datenrate überträgt QSFP-4SFP10-CU0-5?||QSFP-4SFP10-CU0-5 überträgt 40 Gbit/s (4× 10 Gbit/s) gemäß 40GBASE-CR4 zu 4× 10GBASE-CR Breakout (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QSFP-4SFP10-CU0-5?||QSFP-4SFP10-CU0-5 ist im Formfaktor QSFP+ ausgeführt mit Anschluss 1× QSFP+ + 4× SFP+ (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4SFP10-CU0-5?||QSFP-4SFP10-CU0-5 hat eine Länge von 0,5 m und ist als Twinax-Kupfer, passiv, Breakout ausgeführt.##Unterstützt QSFP-4SFP10-CU0-5 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4SFP10-CU0-5: Nein.##In welchem Temperaturbereich arbeitet QSFP-4SFP10-CU0-5?||QSFP-4SFP10-CU0-5 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4SFP10-CU0-5 eingesetzt?||QSFP-4SFP10-CU0-5 ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-4SFP10-CU0-5 eine eigene Stromversorgung?||Nein. QSFP-4SFP10-CU0-5 ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QSFP-4X10G-AOC1M,FAQ,"Welche Datenrate überträgt QSFP-4X10G-AOC1M?||QSFP-4X10G-AOC1M überträgt 40 Gbit/s (4× 10 Gbit/s) gemäß 40G QSFP+ zu 4× 10G SFP+ Active Optical Cable (AOC).##Welchen Formfaktor und Anschluss hat QSFP-4X10G-AOC1M?||QSFP-4X10G-AOC1M ist im Formfaktor QSFP+ ausgeführt mit Anschluss 1× QSFP+ + 4× SFP+ (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4X10G-AOC1M?||QSFP-4X10G-AOC1M hat eine Länge von 1 m und ist als Aktive Glasfaser (AOC), Breakout ausgeführt.##Unterstützt QSFP-4X10G-AOC1M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4X10G-AOC1M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4X10G-AOC1M?||QSFP-4X10G-AOC1M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4X10G-AOC1M eingesetzt?||QSFP-4X10G-AOC1M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung)."
QSFP-4X10G-AOC2M,FAQ,"Welche Datenrate überträgt QSFP-4X10G-AOC2M?||QSFP-4X10G-AOC2M überträgt 40 Gbit/s (4× 10 Gbit/s) gemäß 40G QSFP+ zu 4× 10G SFP+ Active Optical Cable (AOC).##Welchen Formfaktor und Anschluss hat QSFP-4X10G-AOC2M?||QSFP-4X10G-AOC2M ist im Formfaktor QSFP+ ausgeführt mit Anschluss 1× QSFP+ + 4× SFP+ (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4X10G-AOC2M?||QSFP-4X10G-AOC2M hat eine Länge von 2 m und ist als Aktive Glasfaser (AOC), Breakout ausgeführt.##Unterstützt QSFP-4X10G-AOC2M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4X10G-AOC2M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4X10G-AOC2M?||QSFP-4X10G-AOC2M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4X10G-AOC2M eingesetzt?||QSFP-4X10G-AOC2M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung)."
QSFP-4X10G-AOC3M,FAQ,"Welche Datenrate überträgt QSFP-4X10G-AOC3M?||QSFP-4X10G-AOC3M überträgt 40 Gbit/s (4× 10 Gbit/s) gemäß 40G QSFP+ zu 4× 10G SFP+ Active Optical Cable (AOC).##Welchen Formfaktor und Anschluss hat QSFP-4X10G-AOC3M?||QSFP-4X10G-AOC3M ist im Formfaktor QSFP+ ausgeführt mit Anschluss 1× QSFP+ + 4× SFP+ (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4X10G-AOC3M?||QSFP-4X10G-AOC3M hat eine Länge von 3 m und ist als Aktive Glasfaser (AOC), Breakout ausgeführt.##Unterstützt QSFP-4X10G-AOC3M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4X10G-AOC3M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4X10G-AOC3M?||QSFP-4X10G-AOC3M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4X10G-AOC3M eingesetzt?||QSFP-4X10G-AOC3M ist ausgelegt für Transportnetz (SONET/SDH)."
QSFP-4X10G-AOC5M,FAQ,"Welche Datenrate überträgt QSFP-4X10G-AOC5M?||QSFP-4X10G-AOC5M überträgt 40 Gbit/s (4× 10 Gbit/s) gemäß 40G QSFP+ zu 4× 10G SFP+ Active Optical Cable (AOC).##Welchen Formfaktor und Anschluss hat QSFP-4X10G-AOC5M?||QSFP-4X10G-AOC5M ist im Formfaktor QSFP+ ausgeführt mit Anschluss 1× QSFP+ + 4× SFP+ (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4X10G-AOC5M?||QSFP-4X10G-AOC5M hat eine Länge von 5 m und ist als Aktive Glasfaser (AOC), Breakout ausgeführt.##Unterstützt QSFP-4X10G-AOC5M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4X10G-AOC5M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4X10G-AOC5M?||QSFP-4X10G-AOC5M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4X10G-AOC5M eingesetzt?||QSFP-4X10G-AOC5M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung)."
QSFP-4X10G-AOC7M,FAQ,"Welche Datenrate überträgt QSFP-4X10G-AOC7M?||QSFP-4X10G-AOC7M überträgt 40 Gbit/s (4× 10 Gbit/s) gemäß 40G QSFP+ zu 4× 10G SFP+ Active Optical Cable (AOC).##Welchen Formfaktor und Anschluss hat QSFP-4X10G-AOC7M?||QSFP-4X10G-AOC7M ist im Formfaktor QSFP+ ausgeführt mit Anschluss 1× QSFP+ + 4× SFP+ (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4X10G-AOC7M?||QSFP-4X10G-AOC7M hat eine Länge von 7 m und ist als Aktive Glasfaser (AOC), Breakout ausgeführt.##Unterstützt QSFP-4X10G-AOC7M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4X10G-AOC7M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4X10G-AOC7M?||QSFP-4X10G-AOC7M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4X10G-AOC7M eingesetzt?||QSFP-4X10G-AOC7M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung)."
QSFP-4X10G-AOC10M,FAQ,"Welche Datenrate überträgt QSFP-4X10G-AOC10M?||QSFP-4X10G-AOC10M überträgt 40 Gbit/s (4× 10 Gbit/s) gemäß 40G QSFP+ zu 4× 10G SFP+ Active Optical Cable (AOC).##Welchen Formfaktor und Anschluss hat QSFP-4X10G-AOC10M?||QSFP-4X10G-AOC10M ist im Formfaktor QSFP+ ausgeführt mit Anschluss 1× QSFP+ + 4× SFP+ (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QSFP-4X10G-AOC10M?||QSFP-4X10G-AOC10M hat eine Länge von 10 m und ist als Aktive Glasfaser (AOC), Breakout ausgeführt.##Unterstützt QSFP-4X10G-AOC10M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-4X10G-AOC10M: Nein.##In welchem Temperaturbereich arbeitet QSFP-4X10G-AOC10M?||QSFP-4X10G-AOC10M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-4X10G-AOC10M eingesetzt?||QSFP-4X10G-AOC10M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung)."
