Artikelnummer,FAQ
JD220A,"Wofür wird der JD220A verwendet?||Der HPE FlexNetwork 7500 768Gbps Fabric Module ist das Switch-Fabric-Modul für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die verteilte Weiterleitung zwischen den Linecards.##In welche Chassis passt der JD220A?||Der JD220A ist mit der Serie HPE FlexNetwork 7510 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JD220A ein eigenständiger Switch?||Nein. Der JD220A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7510 (Comware v5)."
JD203B,"Wofür wird der JD203B verwendet?||Der HPE FlexNetwork 7500 24-port GbE SFP SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD203B?||Der JD203B ist mit der Serie HPE FlexNetwork 7500, SC (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD203B?||Der JD203B bietet 24× GbE SFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD207A,"Wofür wird der JD207A verwendet?||Der HPE FlexNetwork 7500 12-port GbE SFP Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD207A?||Der JD207A ist mit der Serie HPE FlexNetwork 7500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD207A?||Der JD207A bietet 12× GbE SFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD221A,"Wofür wird der JD221A verwendet?||Der HPE FlexNetwork 7500 48-port GbE SFP Enhanced Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD221A?||Der JD221A ist mit der Serie HPE FlexNetwork 7500, Enhanced (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD221A?||Der JD221A bietet 48× GbE SFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD231A,"Wofür wird der JD231A verwendet?||Der HPE FlexNetwork 7500 24-port GbE SFP Enhanced Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD231A?||Der JD231A ist mit der Serie HPE FlexNetwork 7500, Enhanced (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD231A?||Der JD231A bietet 24× GbE SFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD234A,"Wofür wird der JD234A verwendet?||Der HPE FlexNetwork 7500 24-port GbE SFP with 8 Combo SD Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD234A?||Der JD234A ist mit der Serie HPE FlexNetwork 7500, SD (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD234A?||Der JD234A bietet 16× GbE SFP + 8× GbE Combo; eine PoE-Einspeisung ist nicht vorgesehen."
JD237A,"Wofür wird der JD237A verwendet?||Der HPE FlexNetwork 7500 48-port GbE SFP SD Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD237A?||Der JD237A ist mit der Serie HPE FlexNetwork 7500, SD (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD237A?||Der JD237A bietet 48× GbE SFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD211B,"Wofür wird der JD211B verwendet?||Der HPE FlexNetwork 7500 48-port GbE SFP SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD211B?||Der JD211B ist mit der Serie HPE FlexNetwork 7500, SC (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD211B?||Der JD211B bietet 48× GbE SFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD204B,"Wofür wird der JD204B verwendet?||Der HPE FlexNetwork 7500 24-port Gig-T SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD204B?||Der JD204B ist mit der Serie HPE FlexNetwork 7500, SC (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD204B?||Der JD204B bietet 24× 10/100/1000BASE-T (RJ45); eine PoE-Einspeisung ist nicht vorgesehen."
JD210A,"Wofür wird der JD210A verwendet?||Der HPE FlexNetwork 7500 48-port Gig-T PoE-ready SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD210A?||Der JD210A ist mit der Serie HPE FlexNetwork 7500, SC (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD210A?||Der JD210A bietet 48× 10/100/1000BASE-T (RJ45, PoE-ready) und speist per PoE+ (bis 30 W/Port)."
JD229B,"Wofür wird der JD229B verwendet?||Der HPE FlexNetwork 7500 48-port Gig-T PoE+ SD Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD229B?||Der JD229B ist mit der Serie HPE FlexNetwork 7500, SD (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD229B?||Der JD229B bietet 48× 10/100/1000BASE-T (RJ45, PoE+) und speist per PoE+ (bis 30 W/Port)."
JG663A,"Wofür wird der JG663A verwendet?||Der HPE FlexNetwork 7500 48-port 1000BASE-T PoE+ SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JG663A?||Der JG663A ist mit der Serie HPE FlexNetwork 7500, SC kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JG663A?||Der JG663A bietet 48× 1000BASE-T (RJ45, PoE+) und speist per PoE+ (bis 30 W/Port)."
JD199B,"Wofür wird der JD199B verwendet?||Der HPE FlexNetwork 7500 48-port Gig-T PoE-ready Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD199B?||Der JD199B ist mit der Serie HPE FlexNetwork 7500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD199B?||Der JD199B bietet 48× 10/100/1000BASE-T (RJ45, PoE-ready) und speist per PoE+ (bis 30 W/Port)."
JD228B,"Wofür wird der JD228B verwendet?||Der HPE FlexNetwork 7500 40-port Gig-T/8-port SFP PoE-ready Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD228B?||Der JD228B ist mit der Serie HPE FlexNetwork 7500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD228B?||Der JD228B bietet 40× 10/100/1000BASE-T (RJ45, PoE-ready) + 8× GbE SFP und speist per PoE+ (bis 30 W/Port)."
JC669A,"Wofür wird der JC669A verwendet?||Der HPE FlexNetwork 7500 20-port Gig-T/4-port GbE Combo PoE-upgradable SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JC669A?||Der JC669A ist mit der Serie HPE FlexNetwork 7500, SC kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JC669A?||Der JC669A bietet 20× 10/100/1000BASE-T (RJ45, PoE-ready) + 4× GbE Combo und speist per PoE+ (bis 30 W/Port)."
JD191A,"Wofür wird der JD191A verwendet?||Der HPE FlexNetwork 7500 8-port 10GbE XFP Extended Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD191A?||Der JD191A ist mit der Serie HPE FlexNetwork 7500, Extended (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD191A?||Der JD191A bietet 8× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD201A,"Wofür wird der JD201A verwendet?||Der HPE FlexNetwork 7500 2-port 10GbE XFP SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD201A?||Der JD201A ist mit der Serie HPE FlexNetwork 7500, SC (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD201A?||Der JD201A bietet 2× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD206A,"Wofür wird der JD206A verwendet?||Der HPE FlexNetwork 7500 24-port Gig-T / 2-port 10GbE XFP SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD206A?||Der JD206A ist mit der Serie HPE FlexNetwork 7500, SC (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD206A?||Der JD206A bietet 24× 10/100/1000BASE-T (RJ45) + 2× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD232A,"Wofür wird der JD232A verwendet?||Der HPE FlexNetwork 7500 4-port 10GbE XFP Enhanced Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD232A?||Der JD232A ist mit der Serie HPE FlexNetwork 7500, Enhanced (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD232A?||Der JD232A bietet 4× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD233A,"Wofür wird der JD233A verwendet?||Der HPE FlexNetwork 7500 2-port 10GbE XFP Enhanced Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD233A?||Der JD233A ist mit der Serie HPE FlexNetwork 7500, Enhanced (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD233A?||Der JD233A bietet 2× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD235A,"Wofür wird der JD235A verwendet?||Der HPE FlexNetwork 7500 4-port 10GbE XFP Extended Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD235A?||Der JD235A ist mit der Serie HPE FlexNetwork 7500, Extended (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD235A?||Der JD235A bietet 4× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD236A,"Wofür wird der JD236A verwendet?||Der HPE FlexNetwork 7500 2-port 10GbE XFP Extended Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD236A?||Der JD236A ist mit der Serie HPE FlexNetwork 7500, Extended (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD236A?||Der JD236A bietet 2× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JF290A,"Wofür wird der JF290A verwendet?||Der HPE FlexNetwork 7500 8-port 10G SFP+ SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JF290A?||Der JF290A ist mit der Serie HPE FlexNetwork 7500, SC (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JF290A?||Der JF290A bietet 8× 10GbE SFP+; eine PoE-Einspeisung ist nicht vorgesehen."
JH214A,"Wofür wird der JH214A verwendet?||Der HPE FlexNetwork 7500 16-port 1/10GbE SFP+ SF Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JH214A?||Der JH214A ist mit der Serie HPE FlexNetwork 7500, SF kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JH214A?||Der JH214A bietet 16× 1/10GbE SFP+; eine PoE-Einspeisung ist nicht vorgesehen."
JH430A,"Wofür wird der JH430A verwendet?||Der HPE FlexNetwork 7500 48-port 10GbE SFP/SFP+ M2RSG Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JH430A?||Der JH430A ist mit der Serie HPE FlexNetwork 7500, M2RSG kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JH430A?||Der JH430A bietet 48× 1/10GbE SFP/SFP+; eine PoE-Einspeisung ist nicht vorgesehen."
JD205A,"Wofür wird der JD205A verwendet?||Der HPE FlexNetwork 7500 24-port GbE SFP / 2-port 10GbE XFP Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD205A?||Der JD205A ist mit der Serie HPE FlexNetwork 7500 (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD205A?||Der JD205A bietet 24× GbE SFP + 2× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD230A,"Wofür wird der JD230A verwendet?||Der HPE FlexNetwork 7500 24-port GbE SFP with 8 Combo and 2-port 10GbE XFP SD Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JD230A?||Der JD230A ist mit der Serie HPE FlexNetwork 7500, SD (Comware v5) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JD230A?||Der JD230A bietet 16× GbE SFP + 8× GbE Combo + 2× 10GbE XFP; eine PoE-Einspeisung ist nicht vorgesehen."
JH210A,"Wofür wird der JH210A verwendet?||Der HPE FlexNetwork 7500 44-port SFP / 4-port SFP+ SE Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JH210A?||Der JH210A ist mit der Serie HPE FlexNetwork 7500, SE kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JH210A?||Der JH210A bietet 44× GbE SFP + 4× 1/10GbE SFP+; eine PoE-Einspeisung ist nicht vorgesehen."
JH431A,"Wofür wird der JH431A verwendet?||Der HPE FlexNetwork 7500 44-port GbE SFP / 4-port 10GbE SFP/SFP+ with MACsec SE Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JH431A?||Der JH431A ist mit der Serie HPE FlexNetwork 7500, SE (MACsec) kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JH431A?||Der JH431A bietet 44× GbE SFP + 4× 1/10GbE SFP/SFP+ (MACsec); eine PoE-Einspeisung ist nicht vorgesehen."
JH211A,"Wofür wird der JH211A verwendet?||Der HPE FlexNetwork 7500 24-port SFP / 4-port SFP+ SE Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JH211A?||Der JH211A ist mit der Serie HPE FlexNetwork 7500, SE kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JH211A?||Der JH211A bietet 24× GbE SFP + 4× 1/10GbE SFP+; eine PoE-Einspeisung ist nicht vorgesehen."
JH212A,"Wofür wird der JH212A verwendet?||Der HPE FlexNetwork 7500 48-port 1000BASE-T SE Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JH212A?||Der JH212A ist mit der Serie HPE FlexNetwork 7500, SE kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JH212A?||Der JH212A bietet 48× 1000BASE-T (RJ45); eine PoE-Einspeisung ist nicht vorgesehen."
JH213A,"Wofür wird der JH213A verwendet?||Der HPE FlexNetwork 7500 48-port 1000BASE-T with PoE+ SE Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JH213A?||Der JH213A ist mit der Serie HPE FlexNetwork 7500, SE kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JH213A?||Der JH213A bietet 48× 1000BASE-T (RJ45, PoE+) und speist per PoE+ (bis 30 W/Port)."
JC792A,"Wofür wird der JC792A verwendet?||Der HPE FlexNetwork 7500 4-port 40GbE QSFP+ SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JC792A?||Der JC792A ist mit der Serie HPE FlexNetwork 7500, SC kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JC792A?||Der JC792A bietet 4× 40GbE QSFP+; eine PoE-Einspeisung ist nicht vorgesehen."
JG373A,"Wofür wird der JG373A verwendet?||Der HP 7500 4-port 40GbE CFP SC Module ist eine Linecard (I/O-Modul) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt die Port-Anbindung im Chassis.##In welche Chassis passt der JG373A?||Der JG373A ist mit der Serie HPE FlexNetwork 7500, SC kompatibel und wird in einem passenden Steckplatz betrieben.##Wie viele Ports hat der JG373A?||Der JG373A bietet 4× 40GbE CFP; eine PoE-Einspeisung ist nicht vorgesehen."
JD252A,"Wofür wird der JD252A verwendet?||Der HPE FlexNetwork 7500 Load Balancing Module ist ein Service-Modul (Open Application Architecture) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt eine dedizierte Sicherheits-, Monitoring- oder WLAN-Funktion.##In welche Chassis passt der JD252A?||Der JD252A ist mit der Serie HPE FlexNetwork 7500 (OAA-Service-Slot) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JD252A ein eigenständiger Switch?||Nein. Der JD252A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 (OAA-Service-Slot)."
JD254A,"Wofür wird der JD254A verwendet?||Der HPE 10500/7500 NetStream Monitoring Module ist ein Service-Modul (Open Application Architecture) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt eine dedizierte Sicherheits-, Monitoring- oder WLAN-Funktion.##In welche Chassis passt der JD254A?||Der JD254A ist mit der Serie HPE FlexNetwork 7500 / 10500 (OAA-Service-Slot) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JD254A ein eigenständiger Switch?||Nein. Der JD254A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 / 10500 (OAA-Service-Slot)."
JG372A,"Wofür wird der JG372A verwendet?||Der HPE 10500/11900/7500 20Gbps VPN Firewall Module ist ein Service-Modul (Open Application Architecture) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt eine dedizierte Sicherheits-, Monitoring- oder WLAN-Funktion.##In welche Chassis passt der JG372A?||Der JG372A ist mit der Serie HPE FlexNetwork 7500 / 10500 / 11900 (OAA-Service-Slot) kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JG372A ein eigenständiger Switch?||Nein. Der JG372A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 / 10500 / 11900 (OAA-Service-Slot)."
JG639A,"Wofür wird der JG639A verwendet?||Der HPE 10500/7500 20G Unified Wired-WLAN Module ist ein Service-Modul (Open Application Architecture) für die modularen HPE-FlexNetwork-7500-Chassis und übernimmt eine dedizierte Sicherheits-, Monitoring- oder WLAN-Funktion.##In welche Chassis passt der JG639A?||Der JG639A ist mit der Serie HPE FlexNetwork 7500 / 10500 kompatibel und wird in einem passenden Steckplatz betrieben.##Ist der JG639A ein eigenständiger Switch?||Nein. Der JG639A ist ein Modul und benötigt ein kompatibles Chassis der Serie HPE FlexNetwork 7500 / 10500."
