Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
A-O400-2Q200-10M;Arista A-O400-2Q200-10M 400G AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 10 m;"<p>Das Arista A-O400-2Q200-10M ist ein 400-Gigabit-aktives optisches Kabel (AOC). Über eine Länge von 10 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O400-2Q200-10M ist ein 400-Gigabit-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt 400 Gbit/s.</p><p>Über eine feste Länge von 10 m verbindet das A-O400-2Q200-10M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 10 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O400-2Q200-10M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o400-2q200-10m;0,06;0,22;A-O400-2Q200-10M;Arista;standard;Stk;Arista A-O400-2Q200-10M 400G AOC 10 m | Hexwaren;Original Arista A-O400-2Q200-10M: 400-Gigabit-aktives optisches kabel (aoc) OSFP auf OSFP, Länge 10 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O400-2Q200-15M;Arista A-O400-2Q200-15M 400G AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 15 m;"<p>Das Arista A-O400-2Q200-15M ist ein 400-Gigabit-aktives optisches Kabel (AOC). Über eine Länge von 15 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O400-2Q200-15M ist ein 400-Gigabit-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt 400 Gbit/s.</p><p>Über eine feste Länge von 15 m verbindet das A-O400-2Q200-15M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 15 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O400-2Q200-15M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o400-2q200-15m;0,06;0,22;A-O400-2Q200-15M;Arista;standard;Stk;Arista A-O400-2Q200-15M 400G AOC 15 m | Hexwaren;Original Arista A-O400-2Q200-15M: 400-Gigabit-aktives optisches kabel (aoc) OSFP auf OSFP, Länge 15 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O400-2Q200-20M;Arista A-O400-2Q200-20M 400G AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 20 m;"<p>Das Arista A-O400-2Q200-20M ist ein 400-Gigabit-aktives optisches Kabel (AOC). Über eine Länge von 20 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O400-2Q200-20M ist ein 400-Gigabit-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt 400 Gbit/s.</p><p>Über eine feste Länge von 20 m verbindet das A-O400-2Q200-20M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 20 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O400-2Q200-20M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o400-2q200-20m;0,06;0,22;A-O400-2Q200-20M;Arista;standard;Stk;Arista A-O400-2Q200-20M 400G AOC 20 m | Hexwaren;Original Arista A-O400-2Q200-20M: 400-Gigabit-aktives optisches kabel (aoc) OSFP auf OSFP, Länge 20 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O400-2Q200-25M;Arista A-O400-2Q200-25M 400G AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 25 m;"<p>Das Arista A-O400-2Q200-25M ist ein 400-Gigabit-aktives optisches Kabel (AOC). Über eine Länge von 25 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O400-2Q200-25M ist ein 400-Gigabit-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt 400 Gbit/s.</p><p>Über eine feste Länge von 25 m verbindet das A-O400-2Q200-25M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 25 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O400-2Q200-25M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o400-2q200-25m;0,06;0,22;A-O400-2Q200-25M;Arista;standard;Stk;Arista A-O400-2Q200-25M 400G AOC 25 m | Hexwaren;Original Arista A-O400-2Q200-25M: 400-Gigabit-aktives optisches kabel (aoc) OSFP auf OSFP, Länge 25 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
A-O400-2Q200-30M;Arista A-O400-2Q200-30M 400G AOC OSFP auf OSFP – aktives optisches Kabel (AOC), Länge 30 m;"<p>Das Arista A-O400-2Q200-30M ist ein 400-Gigabit-aktives optisches Kabel (AOC). Über eine Länge von 30 m verbindet es OSFP auf OSFP; die Enden sind fest konfektioniert und im Kabel enthalten.</p><p>Die integrierte Optik wird über die Ports versorgt; ein externes Netzteil entfällt. Es ist auf Arista-Switches der entsprechenden Portklasse abgestimmt.</p>";"<p>Das Arista A-O400-2Q200-30M ist ein 400-Gigabit-aktives optisches Kabel (AOC) für OSFP auf OSFP und überträgt 400 Gbit/s.</p><p>Über eine feste Länge von 30 m verbindet das A-O400-2Q200-30M Arista OSFP auf OSFP; Die integrierte Optik wird über die Ports versorgt, ein externes Netzteil entfällt.</p><p>Es ist für den Betrieb an Arista-Switches der passenden Portklasse unter Arista EOS vorgesehen. Laut Datenblatt überträgt das Kabel über eine fest konfektionierte Länge von 30 m; die werkseitig terminierte Aktivoptik liefert eine geringe Latenz und einen niedrigen Stromverbrauch. Über den Anschluss OSFP auf OSFP eignet sich das A-O400-2Q200-30M für Rechenzentrum (Top-of-Rack-/Row-Verkabelung). Originales Arista-AOC-Kabel für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/a-o400-2q200-30m;0,06;0,22;A-O400-2Q200-30M;Arista;standard;Stk;Arista A-O400-2Q200-30M 400G AOC 30 m | Hexwaren;Original Arista A-O400-2Q200-30M: 400-Gigabit-aktives optisches kabel (aoc) OSFP auf OSFP, Länge 30 m. Konfektionierte Enden, für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;AOC Kabel;TRUE;Y;Y
OSFP-400G-VSR4;Arista OSFP-400G-VSR4 400G OSFP 400GBASE-VSR4-Transceiver – parallele Multimode-Glasfaser (MMF) (OM4), MPO-12, bis zu 50 m;<p>Der Arista OSFP-400G-VSR4 ist ein 400-Gigabit-OSFP-Transceiver vom Typ 400GBASE-VSR4 für parallele Multimode-Glasfaser (MMF) (OM4). Über den mpo-12-anschluss überbrückt bis zu 50 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-VSR4 nach 400GBASE-VSR4 bei 850 nm (MMF) und erreicht bis zu 50 m.</p>;"<p>Der Arista OSFP-400G-VSR4 ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 400GBASE-VSR4 und überträgt 400 Gbit/s über parallele Multimode-Glasfaser (MMF) (OM4).</p><p>Der Arista OSFP-400G-VSR4 arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 50 m; die Sendewellenlänge liegt bei 850 nm (MMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-VSR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt die Betriebswellenlänge 850 nm (MMF), die Reichweite bis zu 50 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-vsr4;0,06;0,22;OSFP-400G-VSR4;Arista;standard;Stk;Arista OSFP-400G-VSR4 400G OSFP 400GBASE-VSR4 | Hexwaren;"Original Arista OSFP-400G-VSR4: 400GBASE-VSR4 400-Gigabit-Transceiver (OSFP), Multimode, MPO-12, bis zu 50 m. Für Arista-Switches (EOS) Rechenzentrum (Kurzstrecke); 850 nm (MMF).";Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
OSFP-400G-SR8;Arista OSFP-400G-SR8 400G OSFP 400GBASE-SR8-Transceiver – parallele Multimode-Glasfaser (MMF) (OM4), MPO-16, bis zu 100 m;<p>Der Arista OSFP-400G-SR8 ist ein 400-Gigabit-OSFP-Transceiver vom Typ 400GBASE-SR8 für parallele Multimode-Glasfaser (MMF) (OM4). Über den mpo-16-anschluss überbrückt bis zu 100 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-SR8 nach 400GBASE-SR8 bei 850 nm (MMF) und erreicht bis zu 100 m.</p>;"<p>Der Arista OSFP-400G-SR8 ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 400GBASE-SR8 und überträgt 400 Gbit/s über parallele Multimode-Glasfaser (MMF) (OM4).</p><p>Der Arista OSFP-400G-SR8 arbeitet über den MPO-16-Anschluss und erreicht eine Reichweite von bis zu 100 m; die Sendewellenlänge liegt bei 850 nm (MMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-SR8 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ SR8, die Betriebswellenlänge 850 nm (MMF), die Reichweite bis zu 100 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-sr8;0,06;0,22;OSFP-400G-SR8;Arista;standard;Stk;Arista OSFP-400G-SR8 400G OSFP 400GBASE-SR8 | Hexwaren;"Original Arista OSFP-400G-SR8: 400GBASE-SR8 400-Gigabit-Transceiver (OSFP), Multimode, MPO-16, bis zu 100 m. Für Arista-Switches (EOS) Rechenzentrum (Kurzstrecke); 850 nm (MMF).";Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
OSFP-400G-SR8-C;Arista OSFP-400G-SR8-C 400G OSFP 400GBASE-SR8-Transceiver – parallele Multimode-Glasfaser (MMF) (OM4), MPO-16, bis zu 100 m;<p>Der Arista OSFP-400G-SR8-C ist ein 400-Gigabit-OSFP-Transceiver vom Typ 400GBASE-SR8 für parallele Multimode-Glasfaser (MMF) (OM4). Über den mpo-16-anschluss überbrückt bis zu 100 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-SR8-C nach 400GBASE-SR8 bei 850 nm (MMF) und erreicht bis zu 100 m.</p>;"<p>Der Arista OSFP-400G-SR8-C ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 400GBASE-SR8 und überträgt 400 Gbit/s über parallele Multimode-Glasfaser (MMF) (OM4).</p><p>Der Arista OSFP-400G-SR8-C arbeitet über den MPO-16-Anschluss und erreicht eine Reichweite von bis zu 100 m; die Sendewellenlänge liegt bei 850 nm (MMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-SR8-C ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ SR8, die Betriebswellenlänge 850 nm (MMF), die Reichweite bis zu 100 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-sr8-c;0,06;0,22;OSFP-400G-SR8-C;Arista;standard;Stk;Arista OSFP-400G-SR8-C 400G OSFP 400GBASE-SR8 | Hexwaren;Original Arista OSFP-400G-SR8-C: 400GBASE-SR8 400-Gigabit-Transceiver (OSFP), Multimode, MPO-16, bis zu 100 m. Für Arista-Switches (EOS) Rechenzentrum (Kurzstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
OSFP-400G-SRBD;Arista OSFP-400G-SRBD 400G OSFP 400GBASE-BIDI-Transceiver – parallele Multimode-Glasfaser (MMF) (OM3/OM4), MPO-12, bis zu 100 m;<p>Der Arista OSFP-400G-SRBD ist ein 400-Gigabit-OSFP-Transceiver vom Typ 400GBASE-BIDI für parallele Multimode-Glasfaser (MMF) (OM3/OM4). Über den mpo-12-anschluss überbrückt bis zu 100 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-SRBD nach 400GBASE-BIDI bei 850 / 910 nm (BiDi, MMF) und erreicht bis zu 100 m.</p>;"<p>Der Arista OSFP-400G-SRBD ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 400GBASE-BIDI und überträgt 400 Gbit/s über parallele Multimode-Glasfaser (MMF) (OM3/OM4).</p><p>Der Arista OSFP-400G-SRBD arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 100 m; die Sendewellenlänge liegt bei 850 / 910 nm (BiDi, MMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-SRBD ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt die Betriebswellenlänge 850 / 910 nm (BiDi, MMF), die Reichweite bis zu 100 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-srbd;0,06;0,22;OSFP-400G-SRBD;Arista;standard;Stk;Arista OSFP-400G-SRBD 400G OSFP 400GBASE-BIDI | Hexwaren;Original Arista OSFP-400G-SRBD: 400GBASE-BIDI 400-Gigabit-Transceiver (OSFP), Multimode, MPO-12, bis zu 100 m. Für Arista-Switches (EOS) Rechenzentrum (Kurzstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
OSFP-400G-DR4;Arista OSFP-400G-DR4 400G OSFP 400GBASE-DR4-Transceiver – parallele Singlemode-Glasfaser (SMF), MPO-12, bis zu 500 m;<p>Der Arista OSFP-400G-DR4 ist ein 400-Gigabit-OSFP-Transceiver vom Typ 400GBASE-DR4 für parallele Singlemode-Glasfaser (SMF). Über den mpo-12-anschluss überbrückt bis zu 500 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-DR4 nach 400GBASE-DR4 bei 1310 nm (parallele SMF) und erreicht bis zu 500 m.</p>;"<p>Der Arista OSFP-400G-DR4 ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 400GBASE-DR4 und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista OSFP-400G-DR4 arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 500 m; die Sendewellenlänge liegt bei 1310 nm (parallele SMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-DR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ DR4, die Betriebswellenlänge 1310 nm (parallele SMF), die Reichweite bis zu 500 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-dr4;0,06;0,22;OSFP-400G-DR4;Arista;standard;Stk;Arista OSFP-400G-DR4 400G OSFP 400GBASE-DR4 | Hexwaren;"Original Arista OSFP-400G-DR4: 400GBASE-DR4 400-Gigabit-Transceiver (OSFP), Singlemode, MPO-12, bis zu 500 m. Für Arista-Switches (EOS) Rechenzentrum (Kurzstrecke); 1310 nm (parallele SMF).";Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
OSFP-400G-XDR4;Arista OSFP-400G-XDR4 400G OSFP 100GBASE-FR-Transceiver – parallele Singlemode-Glasfaser (SMF), MPO-12, bis zu 2 km;<p>Der Arista OSFP-400G-XDR4 ist ein 400-Gigabit-OSFP-Transceiver vom Typ 100GBASE-FR für parallele Singlemode-Glasfaser (SMF). Über den mpo-12-anschluss überbrückt bis zu 2 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-XDR4 nach 100GBASE-FR bei 1310 nm (parallele SMF) und erreicht bis zu 2 km.</p>;"<p>Der Arista OSFP-400G-XDR4 ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 100GBASE-FR und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista OSFP-400G-XDR4 arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 2 km; die Sendewellenlänge liegt bei 1310 nm (parallele SMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-XDR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt die Betriebswellenlänge 1310 nm (parallele SMF), die Reichweite bis zu 2 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-xdr4;0,06;0,22;OSFP-400G-XDR4;Arista;standard;Stk;Arista OSFP-400G-XDR4 400G OSFP 100GBASE-FR | Hexwaren;Original Arista OSFP-400G-XDR4: 100GBASE-FR 400-Gigabit-Transceiver (OSFP), Singlemode, MPO-12, bis zu 2 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
OSFP-400G-XDR4-S;Arista OSFP-400G-XDR4-S 400G OSFP 100GBASE-FR-Transceiver – parallele Singlemode-Glasfaser (SMF), SN, bis zu 2 km;<p>Der Arista OSFP-400G-XDR4-S ist ein 400-Gigabit-OSFP-Transceiver vom Typ 100GBASE-FR für parallele Singlemode-Glasfaser (SMF). Über den sn-anschluss überbrückt bis zu 2 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-XDR4-S nach 100GBASE-FR bei 1310 nm (parallele SMF) und erreicht bis zu 2 km.</p>;"<p>Der Arista OSFP-400G-XDR4-S ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 100GBASE-FR und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista OSFP-400G-XDR4-S erreicht eine Reichweite von bis zu 2 km; die Sendewellenlänge liegt bei 1310 nm (parallele SMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-XDR4-S ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt arbeitet das OSFP-400G-XDR4-S nach 100GBASE-FR bei 1310 nm (parallele SMF) und erreicht bis zu 2 km. Das OSFP-400G-XDR4-S ist für parallele Singlemode-Glasfaser (SMF) ausgelegt und im Temperaturbereich 0 bis 70 °C spezifiziert. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-xdr4-s;0,06;0,22;OSFP-400G-XDR4-S;Arista;standard;Stk;Arista OSFP-400G-XDR4-S 400G OSFP 100GBASE-FR | Hexwaren;Original Arista OSFP-400G-XDR4-S: 100GBASE-FR 400-Gigabit-Transceiver (OSFP), Singlemode, SN, bis zu 2 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
OSFP-400G-PLR4;Arista OSFP-400G-PLR4 400G OSFP 100GBASE-LR-Transceiver – parallele Singlemode-Glasfaser (SMF), MPO-12, bis zu 10 km;<p>Der Arista OSFP-400G-PLR4 ist ein 400-Gigabit-OSFP-Transceiver vom Typ 100GBASE-LR für parallele Singlemode-Glasfaser (SMF). Über den mpo-12-anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-PLR4 nach 100GBASE-LR bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen) und erreicht bis zu 10 km.</p>;"<p>Der Arista OSFP-400G-PLR4 ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 100GBASE-LR und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista OSFP-400G-PLR4 arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 10 km; die Sendewellenlänge liegt bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-PLR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ PLR4, die Betriebswellenlänge 1295–1310 nm (LAN-WDM, 4 Wellenlängen), die Reichweite bis zu 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-plr4;0,06;0,22;OSFP-400G-PLR4;Arista;standard;Stk;Arista OSFP-400G-PLR4 400G OSFP 100GBASE-LR | Hexwaren;Original Arista OSFP-400G-PLR4: 100GBASE-LR 400-Gigabit-Transceiver (OSFP), Singlemode, MPO-12, bis zu 10 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
OSFP-400G-PLR4-S;Arista OSFP-400G-PLR4-S 400G OSFP 100GBASE-LR-Transceiver – parallele Singlemode-Glasfaser (SMF), SN, bis zu 10 km;<p>Der Arista OSFP-400G-PLR4-S ist ein 400-Gigabit-OSFP-Transceiver vom Typ 100GBASE-LR für parallele Singlemode-Glasfaser (SMF). Über den sn-anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit OSFP-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das OSFP-400G-PLR4-S nach 100GBASE-LR bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen) und erreicht bis zu 10 km.</p>;"<p>Der Arista OSFP-400G-PLR4-S ist ein 400-Gigabit-Transceiver im OSFP-Formfaktor nach 100GBASE-LR und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista OSFP-400G-PLR4-S erreicht eine Reichweite von bis zu 10 km; die Sendewellenlänge liegt bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das OSFP-400G-PLR4-S ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ PLR4, die Betriebswellenlänge 1295–1310 nm (LAN-WDM, 4 Wellenlängen), die Reichweite bis zu 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/osfp-400g-plr4-s;0,06;0,22;OSFP-400G-PLR4-S;Arista;standard;Stk;Arista OSFP-400G-PLR4-S 400G OSFP 100GBASE-LR | Hexwaren;Original Arista OSFP-400G-PLR4-S: 100GBASE-LR 400-Gigabit-Transceiver (OSFP), Singlemode, SN, bis zu 10 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;OSFP;TRUE;Y;Y
