Artikelnummer,FAQ
CRS310-8G+2S+IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS310-8G+2S+IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 / SwitchOS vorgesehen.##Wie viele Ports hat der CRS310-8G+2S+IN?||Der CRS310-8G+2S+IN bietet insgesamt 10 Ports: 8× 2,5G-RJ45, 2× SFP+ (10G).##Welches Betriebssystem nutzt der CRS310-8G+2S+IN?||Der CRS310-8G+2S+IN läuft unter RouterOS v7 / SwitchOS und wird als Managed-Switch betrieben."
CRS312-4C+8XG-RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS312-4C+8XG-RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 / SwitchOS vorgesehen.##Wie viele Ports hat der CRS312-4C+8XG-RM?||Der CRS312-4C+8XG-RM bietet insgesamt 13 Ports: 1× Fast-Ethernet-RJ45, 8× Multi-Gig-RJ45 (bis 10G), 4× Combo (RJ45/SFP+).##Welches Betriebssystem nutzt der CRS312-4C+8XG-RM?||Der CRS312-4C+8XG-RM läuft unter RouterOS v7 / SwitchOS und wird als Managed-Switch betrieben."
CRS317-1G-16S+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS317-1G-16S+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS317-1G-16S+RM?||Der CRS317-1G-16S+RM bietet insgesamt 17 Ports: 1× Gigabit-RJ45, 16× SFP+ (10G).##Welches Betriebssystem nutzt der CRS317-1G-16S+RM?||Der CRS317-1G-16S+RM läuft unter RouterOS / SwitchOS und wird als Managed-Switch betrieben."
CRS318-1Fi-15Fr-2S-OUT,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS318-1Fi-15Fr-2S-OUT ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS318-1Fi-15Fr-2S-OUT?||Der CRS318-1Fi-15Fr-2S-OUT bietet insgesamt 18 Ports: 16× Fast-Ethernet-RJ45, 2× SFP (1G).##Unterstützt der CRS318-1Fi-15Fr-2S-OUT PoE?||Ja, der CRS318-1Fi-15Fr-2S-OUT stellt PoE-Out (Passive PoE) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS320-8P-8B-4S+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS320-8P-8B-4S+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 / SwitchOS vorgesehen.##Wie viele Ports hat der CRS320-8P-8B-4S+RM?||Der CRS320-8P-8B-4S+RM bietet insgesamt 21 Ports: 17× Gigabit-RJ45, 4× SFP+ (10G).##Unterstützt der CRS320-8P-8B-4S+RM PoE?||Ja, der CRS320-8P-8B-4S+RM stellt PoE-Out (802.3af/at/bt) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS326-24G-2S+IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS326-24G-2S+IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS326-24G-2S+IN?||Der CRS326-24G-2S+IN bietet insgesamt 26 Ports: 24× Gigabit-RJ45, 2× SFP+ (10G).##Welches Betriebssystem nutzt der CRS326-24G-2S+IN?||Der CRS326-24G-2S+IN läuft unter RouterOS / SwitchOS und wird als Managed-Switch betrieben."
CRS326-24S+2Q+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS326-24S+2Q+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 / SwitchOS vorgesehen.##Wie viele Ports hat der CRS326-24S+2Q+RM?||Der CRS326-24S+2Q+RM bietet insgesamt 27 Ports: 1× Fast-Ethernet-RJ45, 24× SFP+ (10G), 2× QSFP+ (40G).##Welches Betriebssystem nutzt der CRS326-24S+2Q+RM?||Der CRS326-24S+2Q+RM läuft unter RouterOS v7 / SwitchOS und wird als Managed-Switch betrieben."
CRS326-4C+20G+2Q+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS326-4C+20G+2Q+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS326-4C+20G+2Q+RM?||Der CRS326-4C+20G+2Q+RM bietet insgesamt 27 Ports: 1× Fast-Ethernet-RJ45, 20× 2,5G-RJ45, 2× QSFP+ (40G), 4× Combo (RJ45/SFP+).##Welches Betriebssystem nutzt der CRS326-4C+20G+2Q+RM?||Der CRS326-4C+20G+2Q+RM läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CRS328-24P-4S+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS328-24P-4S+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS328-24P-4S+RM?||Der CRS328-24P-4S+RM bietet insgesamt 28 Ports: 24× Gigabit-RJ45, 4× SFP+ (10G).##Unterstützt der CRS328-24P-4S+RM PoE?||Ja, der CRS328-24P-4S+RM stellt PoE-Out (802.3af/at) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS328-4C-20S-4S+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS328-4C-20S-4S+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS328-4C-20S-4S+RM?||Der CRS328-4C-20S-4S+RM bietet insgesamt 28 Ports: 20× SFP (1G), 4× SFP+ (10G), 4× Combo (RJ45/SFP).##Welches Betriebssystem nutzt der CRS328-4C-20S-4S+RM?||Der CRS328-4C-20S-4S+RM läuft unter RouterOS / SwitchOS und wird als Managed-Switch betrieben."
CRS354-48G-4S+2Q+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS354-48G-4S+2Q+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 / SwitchOS vorgesehen.##Wie viele Ports hat der CRS354-48G-4S+2Q+RM?||Der CRS354-48G-4S+2Q+RM bietet insgesamt 55 Ports: 48× Gigabit-RJ45, 1× Fast-Ethernet-RJ45, 4× SFP+ (10G), 2× QSFP+ (40G).##Welches Betriebssystem nutzt der CRS354-48G-4S+2Q+RM?||Der CRS354-48G-4S+2Q+RM läuft unter RouterOS v7 / SwitchOS und wird als Managed-Switch betrieben."
CRS354-48P-4S+2Q+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS354-48P-4S+2Q+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 / SwitchOS vorgesehen.##Wie viele Ports hat der CRS354-48P-4S+2Q+RM?||Der CRS354-48P-4S+2Q+RM bietet insgesamt 55 Ports: 48× Gigabit-RJ45, 1× Fast-Ethernet-RJ45, 4× SFP+ (10G), 2× QSFP+ (40G).##Unterstützt der CRS354-48P-4S+2Q+RM PoE?||Ja, der CRS354-48P-4S+2Q+RM stellt PoE-Out (802.3af/at) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS418-8P-8G-2S+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS418-8P-8G-2S+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS418-8P-8G-2S+RM?||Der CRS418-8P-8G-2S+RM bietet insgesamt 19 Ports: 17× Gigabit-RJ45, 2× SFP+ (10G).##Unterstützt der CRS418-8P-8G-2S+RM PoE?||Ja, der CRS418-8P-8G-2S+RM stellt PoE-Out (802.3af/at) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS418-8P-8G-2S+5axQ2axQ-RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS418-8P-8G-2S+5axQ2axQ-RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS418-8P-8G-2S+5axQ2axQ-RM?||Der CRS418-8P-8G-2S+5axQ2axQ-RM bietet insgesamt 19 Ports: 17× Gigabit-RJ45, 2× SFP+ (10G).##Unterstützt der CRS418-8P-8G-2S+5axQ2axQ-RM PoE?||Ja, der CRS418-8P-8G-2S+5axQ2axQ-RM stellt PoE-Out (802.3af/at) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS504-4XQ-IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS504-4XQ-IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS504-4XQ-IN?||Der CRS504-4XQ-IN bietet insgesamt 5 Ports: 1× Fast-Ethernet-RJ45, 4× QSFP28 (100G).##Welches Betriebssystem nutzt der CRS504-4XQ-IN?||Der CRS504-4XQ-IN läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CRS504-4XQ-OUT,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS504-4XQ-OUT ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS504-4XQ-OUT?||Der CRS504-4XQ-OUT bietet insgesamt 5 Ports: 1× Fast-Ethernet-RJ45, 4× QSFP28 (100G).##Welches Betriebssystem nutzt der CRS504-4XQ-OUT?||Der CRS504-4XQ-OUT läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CRS510-8XS-2XQ-IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS510-8XS-2XQ-IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS510-8XS-2XQ-IN?||Der CRS510-8XS-2XQ-IN bietet insgesamt 11 Ports: 1× Fast-Ethernet-RJ45, 8× SFP28 (25G), 2× QSFP28 (100G).##Welches Betriebssystem nutzt der CRS510-8XS-2XQ-IN?||Der CRS510-8XS-2XQ-IN läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CRS518-16XS-2XQ-RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS518-16XS-2XQ-RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS518-16XS-2XQ-RM?||Der CRS518-16XS-2XQ-RM bietet insgesamt 19 Ports: 1× Fast-Ethernet-RJ45, 16× SFP28 (25G), 2× QSFP28 (100G).##Welches Betriebssystem nutzt der CRS518-16XS-2XQ-RM?||Der CRS518-16XS-2XQ-RM läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CRS520-4XS-16XQ-RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS520-4XS-16XQ-RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS520-4XS-16XQ-RM?||Der CRS520-4XS-16XQ-RM bietet insgesamt 22 Ports: 4× SFP28 (25G), 16× QSFP28 (100G), 2× Multi-Gig-RJ45 (bis 10G).##Welches Betriebssystem nutzt der CRS520-4XS-16XQ-RM?||Der CRS520-4XS-16XQ-RM läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CRS804-4DDQ-hRM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS804-4DDQ-hRM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS804-4DDQ-hRM?||Der CRS804-4DDQ-hRM bietet insgesamt 6 Ports: 4× QSFP-DD (400G), 2× Multi-Gig-RJ45 (bis 10G).##Welches Betriebssystem nutzt der CRS804-4DDQ-hRM?||Der CRS804-4DDQ-hRM läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CRS812-8DS-2DQ-2DDQ-RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS812-8DS-2DQ-2DDQ-RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS812-8DS-2DQ-2DDQ-RM?||Der CRS812-8DS-2DQ-2DDQ-RM bietet insgesamt 14 Ports: 8× SFP56 (50G), 2× QSFP56 (200G), 2× QSFP-DD (400G), 2× Multi-Gig-RJ45 (bis 10G).##Welches Betriebssystem nutzt der CRS812-8DS-2DQ-2DDQ-RM?||Der CRS812-8DS-2DQ-2DDQ-RM läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CSS318-16G-2S+IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CSS318-16G-2S+IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter SwOS vorgesehen.##Wie viele Ports hat der CSS318-16G-2S+IN?||Der CSS318-16G-2S+IN bietet insgesamt 18 Ports: 16× Gigabit-RJ45, 2× SFP+ (10G).##Welches Betriebssystem nutzt der CSS318-16G-2S+IN?||Der CSS318-16G-2S+IN läuft unter SwOS und wird als Smart-Managed-Switch betrieben."
CSS610-8G-2S+IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CSS610-8G-2S+IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter SwitchOS Lite vorgesehen.##Wie viele Ports hat der CSS610-8G-2S+IN?||Der CSS610-8G-2S+IN bietet insgesamt 10 Ports: 8× Gigabit-RJ45, 2× SFP+ (10G).##Welches Betriebssystem nutzt der CSS610-8G-2S+IN?||Der CSS610-8G-2S+IN läuft unter SwitchOS Lite und wird als Smart-Managed-Switch betrieben."
CSS610-8P-2S+IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CSS610-8P-2S+IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter SwitchOS Lite vorgesehen.##Wie viele Ports hat der CSS610-8P-2S+IN?||Der CSS610-8P-2S+IN bietet insgesamt 10 Ports: 8× Gigabit-RJ45, 2× SFP+ (10G).##Unterstützt der CSS610-8P-2S+IN PoE?||Ja, der CSS610-8P-2S+IN stellt PoE-Out (802.3af/at) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS318-16P-2S+OUT,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS318-16P-2S+OUT ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS318-16P-2S+OUT?||Der CRS318-16P-2S+OUT bietet insgesamt 18 Ports: 16× Gigabit-RJ45, 2× SFP+ (10G).##Unterstützt der CRS318-16P-2S+OUT PoE?||Ja, der CRS318-16P-2S+OUT stellt PoE-Out (802.3af/at) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CSS610-1Gi-7R-2S+OUT,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CSS610-1Gi-7R-2S+OUT ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter SwitchOS Lite vorgesehen.##Wie viele Ports hat der CSS610-1Gi-7R-2S+OUT?||Der CSS610-1Gi-7R-2S+OUT bietet insgesamt 10 Ports: 8× Gigabit-RJ45, 2× SFP+ (10G).##Unterstützt der CSS610-1Gi-7R-2S+OUT PoE?||Ja, der CSS610-1Gi-7R-2S+OUT stellt PoE-Out (Passive PoE) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CSS610-8P-2S+OUT,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CSS610-8P-2S+OUT ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS/SwOS vorgesehen.##Wie viele Ports hat der CSS610-8P-2S+OUT?||Der CSS610-8P-2S+OUT bietet insgesamt 10 Ports: 8× Gigabit-RJ45, 2× SFP+ (10G).##Unterstützt der CSS610-8P-2S+OUT PoE?||Ja, der CSS610-8P-2S+OUT stellt PoE-Out (802.3af/at) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS310-1G-5S-4S+OUT,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS310-1G-5S-4S+OUT ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 / SwitchOS vorgesehen.##Wie viele Ports hat der CRS310-1G-5S-4S+OUT?||Der CRS310-1G-5S-4S+OUT bietet insgesamt 10 Ports: 1× Gigabit-RJ45, 5× SFP (1G), 4× SFP+ (10G).##Welches Betriebssystem nutzt der CRS310-1G-5S-4S+OUT?||Der CRS310-1G-5S-4S+OUT läuft unter RouterOS v7 / SwitchOS und wird als Managed-Switch betrieben."
CRS305-1G-4S+OUT,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS305-1G-4S+OUT ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS305-1G-4S+OUT?||Der CRS305-1G-4S+OUT bietet insgesamt 5 Ports: 1× Gigabit-RJ45, 4× SFP+ (10G).##Welches Betriebssystem nutzt der CRS305-1G-4S+OUT?||Der CRS305-1G-4S+OUT läuft unter RouterOS / SwitchOS und wird als Managed-Switch betrieben."
