Artikelnummer,FAQ
JL727B,"Wie viele Ports hat der JL727B?||Der JL727B bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL727B?||Der JL727B stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL727B stapeln (Stacking)?||Ja. Der JL727B unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M89A,"Wie viele Ports hat der S0M89A?||Der S0M89A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des S0M89A?||Der S0M89A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0M89A stapeln (Stacking)?||Ja. Der S0M89A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL728A,"Wie viele Ports hat der JL728A?||Der JL728A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL728A?||Der JL728A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL728A stapeln (Stacking)?||Ja. Der JL728A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
JL728B,"Wie viele Ports hat der JL728B?||Der JL728B bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des JL728B?||Der JL728B stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der JL728B stapeln (Stacking)?||Ja. Der JL728B unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M90A,"Wie viele Ports hat der S0M90A?||Der S0M90A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des S0M90A?||Der S0M90A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0M90A stapeln (Stacking)?||Ja. Der S0M90A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M81A,"Wie viele Ports hat der S0M81A?||Der S0M81A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der S0M81A PoE?||Nein. Der S0M81A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0M81A stapeln (Stacking)?||Ja. Der S0M81A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0G13A,"Wie viele Ports hat der S0G13A?||Der S0G13A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der S0G13A PoE?||Nein. Der S0G13A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0G13A stapeln (Stacking)?||Ja. Der S0G13A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M82A,"Wie viele Ports hat der S0M82A?||Der S0M82A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S0M82A?||Der S0M82A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0M82A stapeln (Stacking)?||Ja. Der S0M82A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0G14A,"Wie viele Ports hat der S0G14A?||Der S0G14A bietet insgesamt 28 Ports: 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S0G14A?||Der S0G14A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0G14A stapeln (Stacking)?||Ja. Der S0G14A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M83A,"Wie viele Ports hat der S0M83A?||Der S0M83A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der S0M83A PoE?||Nein. Der S0M83A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0M83A stapeln (Stacking)?||Ja. Der S0M83A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0G15A,"Wie viele Ports hat der S0G15A?||Der S0G15A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP (1G) (Uplink).##Unterstützt der S0G15A PoE?||Nein. Der S0G15A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Lässt sich der S0G15A stapeln (Stacking)?||Ja. Der S0G15A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M84A,"Wie viele Ports hat der S0M84A?||Der S0M84A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S0M84A?||Der S0M84A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0M84A stapeln (Stacking)?||Ja. Der S0M84A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0G16A,"Wie viele Ports hat der S0G16A?||Der S0G16A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S0G16A?||Der S0G16A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0G16A stapeln (Stacking)?||Ja. Der S0G16A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0M85A,"Wie viele Ports hat der S0M85A?||Der S0M85A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S0M85A?||Der S0M85A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0M85A stapeln (Stacking)?||Ja. Der S0M85A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
S0G17A,"Wie viele Ports hat der S0G17A?||Der S0G17A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des S0G17A?||Der S0G17A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der S0G17A stapeln (Stacking)?||Ja. Der S0G17A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8Q72A,"Wie viele Ports hat der R8Q72A?||Der R8Q72A bietet insgesamt 16 Ports: 12× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 2× 1G-RJ45 + 2× SFP+ (1/10G) (Uplink).##Wie hoch ist das PoE-Budget des R8Q72A?||Der R8Q72A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 139 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8Q72A stapeln (Stacking)?||Ja. Der R8Q72A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
R8V13A,"Wie viele Ports hat der R8V13A?||Der R8V13A bietet insgesamt 52 Ports: 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink).##Wie hoch ist das PoE-Budget des R8V13A?||Der R8V13A stellt IEEE 802.3af/at Class 4 (30 W/Port, Budget 740 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Lässt sich der R8V13A stapeln (Stacking)?||Ja. Der R8V13A unterstützt Aruba VSF (bis 8 Einheiten, über die 10G-SFP+-Uplinks) und lässt sich so zu einem logischen Switch zusammenfassen."
