Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
C6800-SUP6T,,Switch,Uplink-Ports,8× 1/10G-SFP+ + 2× 40G-QSFP,6,Wertliste,Attribut
C6800-SUP6T,,Switch,Switching-Kapazität,6 Tbit/s Crossbar-Fabric,8,Wertliste,Attribut
C6800-SUP6T,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
C6800-SUP6T,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-SUP6T,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-SUP6T-XL,,Switch,Uplink-Ports,8× 1/10G-SFP+ + 2× 40G-QSFP,6,Wertliste,Attribut
C6800-SUP6T-XL,,Switch,Switching-Kapazität,6 Tbit/s Crossbar-Fabric,8,Wertliste,Attribut
C6800-SUP6T-XL,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
C6800-SUP6T-XL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-SUP6T-XL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6748-GE-TX,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X6748-GE-TX,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
WS-X6748-GE-TX,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
WS-X6748-GE-TX,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6748-GE-TX,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6748-SFP,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X6748-SFP,,Switch,Port-Konfiguration,48× 1G-SFP,4,Wertliste,Attribut
WS-X6748-SFP,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
WS-X6748-SFP,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6748-SFP,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6848-TX-2T,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X6848-TX-2T,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
WS-X6848-TX-2T,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
WS-X6848-TX-2T,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6848-TX-2T,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6848-TX-2T,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6848-TX-2TXL,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X6848-TX-2TXL,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
WS-X6848-TX-2TXL,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
WS-X6848-TX-2TXL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6848-TX-2TXL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6848-TX-2TXL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6848-SFP-2T,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X6848-SFP-2T,,Switch,Port-Konfiguration,48× 1G-SFP,4,Wertliste,Attribut
WS-X6848-SFP-2T,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
WS-X6848-SFP-2T,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6848-SFP-2T,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6848-SFP-2T,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6848-SFP-2TXL,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X6848-SFP-2TXL,,Switch,Port-Konfiguration,48× 1G-SFP,4,Wertliste,Attribut
WS-X6848-SFP-2TXL,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
WS-X6848-SFP-2TXL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6848-SFP-2TXL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6848-SFP-2TXL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6816-10G-2T,,Switch,Portanzahl,16,3,Wertliste,Attribut
WS-X6816-10G-2T,,Switch,Port-Konfiguration,16× 10G-X2,4,Wertliste,Attribut
WS-X6816-10G-2T,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
WS-X6816-10G-2T,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6816-10G-2T,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6816-10G-2T,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6816-10G-2TXL,,Switch,Portanzahl,16,3,Wertliste,Attribut
WS-X6816-10G-2TXL,,Switch,Port-Konfiguration,16× 10G-X2,4,Wertliste,Attribut
WS-X6816-10G-2TXL,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
WS-X6816-10G-2TXL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6816-10G-2TXL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6816-10G-2TXL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6908-10G-2T,,Switch,Portanzahl,8,3,Wertliste,Attribut
WS-X6908-10G-2T,,Switch,Port-Konfiguration,8× 10G-X2,4,Wertliste,Attribut
WS-X6908-10G-2T,,Switch,Switching-Kapazität,"80 Gbit/s (Vollduplex, 1:1)",8,Wertliste,Attribut
WS-X6908-10G-2T,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6908-10G-2T,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6908-10G-2T,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6908-10G-2TXL,,Switch,Portanzahl,8,3,Wertliste,Attribut
WS-X6908-10G-2TXL,,Switch,Port-Konfiguration,8× 10G-X2,4,Wertliste,Attribut
WS-X6908-10G-2TXL,,Switch,Switching-Kapazität,"80 Gbit/s (Vollduplex, 1:1)",8,Wertliste,Attribut
WS-X6908-10G-2TXL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6908-10G-2TXL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6908-10G-2TXL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6904-40G-2T,,Switch,Portanzahl,4,3,Wertliste,Attribut
WS-X6904-40G-2T,,Switch,Port-Konfiguration,4× 40G-CFP,4,Wertliste,Attribut
WS-X6904-40G-2T,,Switch,Switching-Kapazität,80 Gbit/s (Vollduplex),8,Wertliste,Attribut
WS-X6904-40G-2T,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6904-40G-2T,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6904-40G-2T,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6904-40G-2TXL,,Switch,Portanzahl,4,3,Wertliste,Attribut
WS-X6904-40G-2TXL,,Switch,Port-Konfiguration,4× 40G-CFP,4,Wertliste,Attribut
WS-X6904-40G-2TXL,,Switch,Switching-Kapazität,80 Gbit/s (Vollduplex),8,Wertliste,Attribut
WS-X6904-40G-2TXL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6904-40G-2TXL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6904-40G-2TXL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
WS-X6824-SFP-2T,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-X6824-SFP-2T,,Switch,Port-Konfiguration,24× 1G-SFP,4,Wertliste,Attribut
WS-X6824-SFP-2T,,Switch,Switching-Kapazität,20 Gbit/s zur Fabric (single 20 Gbit/s),8,Wertliste,Attribut
WS-X6824-SFP-2T,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X6824-SFP-2T,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
WS-X6824-SFP-2T,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-32P10G,,Switch,Portanzahl,32,3,Wertliste,Attribut
C6800-32P10G,,Switch,Port-Konfiguration,32× 10G-SFP+,4,Wertliste,Attribut
C6800-32P10G,,Switch,Switching-Kapazität,160 Gbit/s Backplane (6807-XL) bzw. 80 Gbit/s (6500-E),8,Wertliste,Attribut
C6800-32P10G,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-32P10G,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-32P10G,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-32P10G,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-32P10G-XL,,Switch,Portanzahl,32,3,Wertliste,Attribut
C6800-32P10G-XL,,Switch,Port-Konfiguration,32× 10G-SFP+,4,Wertliste,Attribut
C6800-32P10G-XL,,Switch,Switching-Kapazität,160 Gbit/s Backplane (6807-XL) bzw. 80 Gbit/s (6500-E),8,Wertliste,Attribut
C6800-32P10G-XL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-32P10G-XL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-32P10G-XL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-32P10G-XL,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-16P10G,,Switch,Portanzahl,16,3,Wertliste,Attribut
C6800-16P10G,,Switch,Port-Konfiguration,16× 10G-SFP+,4,Wertliste,Attribut
C6800-16P10G,,Switch,Switching-Kapazität,80 Gbit/s Backplane,8,Wertliste,Attribut
C6800-16P10G,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-16P10G,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-16P10G,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-16P10G,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-16P10G-XL,,Switch,Portanzahl,16,3,Wertliste,Attribut
C6800-16P10G-XL,,Switch,Port-Konfiguration,16× 10G-SFP+,4,Wertliste,Attribut
C6800-16P10G-XL,,Switch,Switching-Kapazität,80 Gbit/s Backplane,8,Wertliste,Attribut
C6800-16P10G-XL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-16P10G-XL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-16P10G-XL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-16P10G-XL,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-8P10G,,Switch,Portanzahl,8,3,Wertliste,Attribut
C6800-8P10G,,Switch,Port-Konfiguration,8× 10G-SFP+,4,Wertliste,Attribut
C6800-8P10G,,Switch,Switching-Kapazität,80 Gbit/s Backplane,8,Wertliste,Attribut
C6800-8P10G,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-8P10G,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-8P10G,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-8P10G,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-8P10G-XL,,Switch,Portanzahl,8,3,Wertliste,Attribut
C6800-8P10G-XL,,Switch,Port-Konfiguration,8× 10G-SFP+,4,Wertliste,Attribut
C6800-8P10G-XL,,Switch,Switching-Kapazität,80 Gbit/s Backplane,8,Wertliste,Attribut
C6800-8P10G-XL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-8P10G-XL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-8P10G-XL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-8P10G-XL,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-48P-TX,,Switch,Portanzahl,48,3,Wertliste,Attribut
C6800-48P-TX,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
C6800-48P-TX,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
C6800-48P-TX,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-48P-TX,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-48P-TX,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-48P-TX,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-48P-TX-XL,,Switch,Portanzahl,48,3,Wertliste,Attribut
C6800-48P-TX-XL,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
C6800-48P-TX-XL,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
C6800-48P-TX-XL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-48P-TX-XL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-48P-TX-XL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-48P-TX-XL,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-48P-SFP,,Switch,Portanzahl,48,3,Wertliste,Attribut
C6800-48P-SFP,,Switch,Port-Konfiguration,48× 1G-SFP,4,Wertliste,Attribut
C6800-48P-SFP,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
C6800-48P-SFP,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-48P-SFP,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-48P-SFP,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-48P-SFP,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
C6800-48P-SFP-XL,,Switch,Portanzahl,48,3,Wertliste,Attribut
C6800-48P-SFP-XL,,Switch,Port-Konfiguration,48× 1G-SFP,4,Wertliste,Attribut
C6800-48P-SFP-XL,,Switch,Switching-Kapazität,40 Gbit/s zur Fabric (dual 20 Gbit/s),8,Wertliste,Attribut
C6800-48P-SFP-XL,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
C6800-48P-SFP-XL,,Switch,Kompatible Serie,Catalyst 6807-XL,20,Wertliste,Attribut
C6800-48P-SFP-XL,,Switch,Kompatible Serie,Catalyst 6500-E,20,Wertliste,Attribut
C6800-48P-SFP-XL,,Switch,Kompatible Serie,Catalyst 6800-X,20,Wertliste,Attribut
