Artikelnummer,FAQ
WS-C3560X-48P-S,"Wie viele Ports hat der WS-C3560X-48P-S?||Der WS-C3560X-48P-S bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48P-S und ist er stapelbar?||Der WS-C3560X-48P-S läuft unter Cisco IOS (IP Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-48P-S?||Der WS-C3560X-48P-S liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Was leistet die IP Base-Lizenz des WS-C3560X-48P-S?||Der WS-C3560X-48P-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-48P-E,"Wie viele Ports hat der WS-C3560X-48P-E?||Der WS-C3560X-48P-E bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48P-E und ist er stapelbar?||Der WS-C3560X-48P-E läuft unter Cisco IOS (IP Services) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-48P-E?||Der WS-C3560X-48P-E liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 435 W für IP-Telefone, WLAN-APs und Kameras.##Was leistet die IP Services-Lizenz des WS-C3560X-48P-E?||Der WS-C3560X-48P-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-48PF-L,"Wie viele Ports hat der WS-C3560X-48PF-L?||Der WS-C3560X-48PF-L bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48PF-L und ist er stapelbar?||Der WS-C3560X-48PF-L läuft unter Cisco IOS (LAN Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-48PF-L?||Der WS-C3560X-48PF-L liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 800 W für IP-Telefone, WLAN-APs und Kameras.##Routet der WS-C3560X-48PF-L (LAN Base)?||Der WS-C3560X-48PF-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access am Edge gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3560X-48PF-S,"Wie viele Ports hat der WS-C3560X-48PF-S?||Der WS-C3560X-48PF-S bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48PF-S und ist er stapelbar?||Der WS-C3560X-48PF-S läuft unter Cisco IOS (IP Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-48PF-S?||Der WS-C3560X-48PF-S liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 800 W für IP-Telefone, WLAN-APs und Kameras.##Was leistet die IP Base-Lizenz des WS-C3560X-48PF-S?||Der WS-C3560X-48PF-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-48PF-E,"Wie viele Ports hat der WS-C3560X-48PF-E?||Der WS-C3560X-48PF-E bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48PF-E und ist er stapelbar?||Der WS-C3560X-48PF-E läuft unter Cisco IOS (IP Services) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE-Budget hat der WS-C3560X-48PF-E?||Der WS-C3560X-48PF-E liefert PoE+ nach IEEE 802.3at (bis 30 W/Port) mit insgesamt 800 W für IP-Telefone, WLAN-APs und Kameras.##Was leistet die IP Services-Lizenz des WS-C3560X-48PF-E?||Der WS-C3560X-48PF-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-24U-L,"Wie viele Ports hat der WS-C3560X-24U-L?||Der WS-C3560X-24U-L bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24U-L und ist er stapelbar?||Der WS-C3560X-24U-L läuft unter Cisco IOS (LAN Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE hat der WS-C3560X-24U-L?||Der WS-C3560X-24U-L bietet Cisco UPOE mit bis zu 60 W pro Port (800 W Budget, bis 1800 W mit zwei Netzteilen) – für TelePresence, Multiband-APs und leistungsstarke Endgeräte.##Routet der WS-C3560X-24U-L (LAN Base)?||Der WS-C3560X-24U-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access am Edge gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3560X-24U-S,"Wie viele Ports hat der WS-C3560X-24U-S?||Der WS-C3560X-24U-S bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24U-S und ist er stapelbar?||Der WS-C3560X-24U-S läuft unter Cisco IOS (IP Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE hat der WS-C3560X-24U-S?||Der WS-C3560X-24U-S bietet Cisco UPOE mit bis zu 60 W pro Port (800 W Budget, bis 1800 W mit zwei Netzteilen) – für TelePresence, Multiband-APs und leistungsstarke Endgeräte.##Was leistet die IP Base-Lizenz des WS-C3560X-24U-S?||Der WS-C3560X-24U-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-24U-E,"Wie viele Ports hat der WS-C3560X-24U-E?||Der WS-C3560X-24U-E bietet 24× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-24U-E und ist er stapelbar?||Der WS-C3560X-24U-E läuft unter Cisco IOS (IP Services) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE hat der WS-C3560X-24U-E?||Der WS-C3560X-24U-E bietet Cisco UPOE mit bis zu 60 W pro Port (800 W Budget, bis 1800 W mit zwei Netzteilen) – für TelePresence, Multiband-APs und leistungsstarke Endgeräte.##Was leistet die IP Services-Lizenz des WS-C3560X-24U-E?||Der WS-C3560X-24U-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-48U-L,"Wie viele Ports hat der WS-C3560X-48U-L?||Der WS-C3560X-48U-L bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48U-L und ist er stapelbar?||Der WS-C3560X-48U-L läuft unter Cisco IOS (LAN Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE hat der WS-C3560X-48U-L?||Der WS-C3560X-48U-L bietet Cisco UPOE mit bis zu 60 W pro Port (800 W Budget, bis 1800 W mit zwei Netzteilen) – für TelePresence, Multiband-APs und leistungsstarke Endgeräte.##Routet der WS-C3560X-48U-L (LAN Base)?||Der WS-C3560X-48U-L ist mit LAN Base ein reiner Layer-2-Switch (ausgereiftes Layer-2-Switching (VLANs, QoS, EtherChannel), kein dynamisches Routing). Für Routed Access am Edge gibt es dieselbe Hardware als IP-Base- (-S) oder IP-Services- (-E) Variante."
WS-C3560X-48U-S,"Wie viele Ports hat der WS-C3560X-48U-S?||Der WS-C3560X-48U-S bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48U-S und ist er stapelbar?||Der WS-C3560X-48U-S läuft unter Cisco IOS (IP Base) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE hat der WS-C3560X-48U-S?||Der WS-C3560X-48U-S bietet Cisco UPOE mit bis zu 60 W pro Port (800 W Budget, bis 1800 W mit zwei Netzteilen) – für TelePresence, Multiband-APs und leistungsstarke Endgeräte.##Was leistet die IP Base-Lizenz des WS-C3560X-48U-S?||Der WS-C3560X-48U-S ist ein Layer-3-Switch: die IP Base-Lizenz schaltet Routed Access (statisches Routing, RIP, EIGRP Stub, OSPF for Routed Access) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
WS-C3560X-48U-E,"Wie viele Ports hat der WS-C3560X-48U-E?||Der WS-C3560X-48U-E bietet 48× 10/100/1000-Ports plus einen modularen Uplink-Slot (optionales C3KX-NM-Modul, z. B. 2× 10G-SFP+); im Auslieferungszustand ohne Uplink-Modul.##Welches Betriebssystem nutzt der WS-C3560X-48U-E und ist er stapelbar?||Der WS-C3560X-48U-E läuft unter Cisco IOS (IP Services) und wird per CLI verwaltet. Er ist ein eigenständiger Switch ohne Stacking; die stapelbare Schwesterserie ist die Catalyst 3750-X.##Welches PoE hat der WS-C3560X-48U-E?||Der WS-C3560X-48U-E bietet Cisco UPOE mit bis zu 60 W pro Port (800 W Budget, bis 1800 W mit zwei Netzteilen) – für TelePresence, Multiband-APs und leistungsstarke Endgeräte.##Was leistet die IP Services-Lizenz des WS-C3560X-48U-E?||Der WS-C3560X-48U-E ist ein Layer-3-Switch: die IP Services-Lizenz schaltet volles dynamisches Routing (OSPF, EIGRP, BGP, IS-IS, PBR, VRF-Lite, IPv6/OSPFv3) frei. Die Hardware ist identisch zur LAN-Base-Variante; nur die Lizenz unterscheidet sich."
