Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
R0X41C,Port-Konfiguration,"48× HPE Smart Rate (1/2.5/5G, Class 6 PoE) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41C,PoE,"Ja (IEEE 802.3bt Class 6, 60 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41C,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41C,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41C,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42A,Portanzahl,28,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42A,Port-Konfiguration,"24× 10GBASE-T (Kupfer) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42A,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42A,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42C,Portanzahl,28,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42C,Port-Konfiguration,"24× 10GBASE-T (Kupfer) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42C,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42C,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42C,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43A,Portanzahl,28,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43A,Port-Konfiguration,"24× SFP+ (1/10G) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43A,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43A,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43C,Portanzahl,28,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43C,Port-Konfiguration,"24× SFP+ (1/10G) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43C,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43C,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43C,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44C,Portanzahl,48,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44C,Port-Konfiguration,48× SFP28 (1/10/25G),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44C,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44C,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44C,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45C,Portanzahl,12,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45C,Port-Konfiguration,12× QSFP28 (40/100G),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45C,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45C,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45C,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S0E48A,Portanzahl,36,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S0E48A,Port-Konfiguration,"32× SFP28 (1/10/25G) + 4× QSFP28 (40/100G, MACsec)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S0E48A,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S0E48A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S0E48A,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S1T83A,Portanzahl,28,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S1T83A,Port-Konfiguration,"24× HPE Smart Rate (1/2.5/5/10G, Class 8 PoE) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S1T83A,PoE,"Ja (IEEE 802.3bt Class 8, 90 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S1T83A,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S1T83A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S1T83A,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44A,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45A,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42A,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X42C,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43A,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X43C,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44C,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45C,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
S0E48A,PoE,Nein,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
